antecedents_str,consequents_str,support,confidence,lift
"乙巳, 達賴",康熙,0.1,1.0,1.5384615384615383
乙巳,"康熙, 達賴",0.1,1.0,1.6666666666666667
"滿洲, 達賴",太廟,0.15,0.7499999999999999,1.6666666666666663
滿洲,"太廟, 達賴",0.15,0.7499999999999999,1.8749999999999996
"班禪, 達賴",滿洲,0.1,0.5,2.5
"滿洲, 達賴",班禪,0.1,0.5,2.5
班禪,"滿洲, 達賴",0.1,0.5,2.5
滿洲,"班禪, 達賴",0.1,0.5,2.5
"侍郎, 達賴",滿洲,0.1,0.5,2.5
"滿洲, 達賴",侍郎,0.1,0.5,2.0
滿洲,"侍郎, 達賴",0.1,0.5,2.5
滿洲,"七月, 達賴",0.1,0.5,1.6666666666666667
"滿洲, 達賴",都御史,0.1,0.5,2.0
滿洲,"達賴, 都御史",0.1,0.5,2.0
"滿洲, 達賴",丹津,0.1,0.5,1.6666666666666667
滿洲,"丹津, 達賴",0.1,0.5,2.0
"大學士, 達賴",刑部,0.15,0.7499999999999999,2.9999999999999996
"刑部, 達賴",大學士,0.15,0.6,2.9999999999999996
大學士,"刑部, 達賴",0.15,0.7499999999999999,2.9999999999999996
刑部,"大學士, 達賴",0.15,0.6,2.9999999999999996
"大學士, 達賴",總兵,0.15,0.7499999999999999,2.4999999999999996
"總兵, 達賴",大學士,0.15,0.5,2.5
大學士,"總兵, 達賴",0.15,0.7499999999999999,2.4999999999999996
總兵,"大學士, 達賴",0.15,0.5,2.5
大學士,"胡土克圖, 達賴",0.15,0.7499999999999999,1.6666666666666663
"大學士, 達賴",郡王,0.1,0.5,2.0
大學士,"達賴, 郡王",0.1,0.5,2.0
大學士,"丹巴, 達賴",0.1,0.5,1.6666666666666667
大學士,"汗, 達賴",0.1,0.5,1.6666666666666667
"大學士, 達賴",白旗,0.15,0.7499999999999999,3.749999999999999
"白旗, 達賴",大學士,0.15,0.7499999999999999,3.749999999999999
大學士,"白旗, 達賴",0.15,0.7499999999999999,3.749999999999999
白旗,"大學士, 達賴",0.15,0.7499999999999999,3.749999999999999
"白旗, 達賴",滿洲,0.1,0.5,2.5
"滿洲, 達賴",白旗,0.1,0.5,2.5
白旗,"滿洲, 達賴",0.1,0.5,2.5
滿洲,"白旗, 達賴",0.1,0.5,2.5
"白旗, 達賴",刑部,0.1,0.5,2.0
白旗,"刑部, 達賴",0.1,0.5,2.0
白旗,"胡土克圖, 達賴",0.15,0.7499999999999999,1.6666666666666663
"總督, 達賴",白旗,0.1,0.5,2.5
"白旗, 達賴",總督,0.1,0.5,2.5
總督,"白旗, 達賴",0.1,0.5,2.5
白旗,"總督, 達賴",0.1,0.5,2.5
"白旗, 達賴",公,0.1,0.5,2.5
"公, 達賴",白旗,0.1,0.5,2.5
白旗,"公, 達賴",0.1,0.5,2.5
公,"白旗, 達賴",0.1,0.5,2.5
"白旗, 達賴",郡王,0.1,0.5,2.0
白旗,"達賴, 郡王",0.1,0.5,2.0
"白旗, 達賴",總兵,0.1,0.5,1.6666666666666667
白旗,"總兵, 達賴",0.1,0.5,1.6666666666666667
白旗,"噶爾丹, 達賴",0.1,0.5,1.6666666666666667
"白旗, 達賴",侍郎,0.1,0.5,2.0
"侍郎, 達賴",白旗,0.1,0.5,2.5
白旗,"侍郎, 達賴",0.1,0.5,2.5
