word,n_W,n_TW,P(W|T),Jaccard,PMI,Lift
二十一,17,7,0.12727272727272726,0.1076923076923077,2.5045864054536966,5.674866310160428
一百五十,17,7,0.12727272727272726,0.1076923076923077,2.5045864054536966,5.674866310160428
三千,37,15,0.2727272727272727,0.19480519480519481,2.482131554626001,5.587223587223587
十一,15,6,0.10909090909090909,0.09375,2.46276622975907,5.512727272727273
各省,64,24,0.43636363636363634,0.25263157894736843,2.3696568253675885,5.168181818181818
二人,27,10,0.18181818181818182,0.1388888888888889,2.351734917370326,5.104377104377105
二十二,11,4,0.07272727272727272,0.06451612903225806,2.325262706009135,5.011570247933884
二十六,11,4,0.07272727272727272,0.06451612903225806,2.325262706009135,5.011570247933884
蘇,14,5,0.09090909090909091,0.078125,2.299267497476191,4.922077922077922
二百,71,25,0.45454545454545453,0.24752475247524752,2.278803394916475,4.852752880921895
銀,83,29,0.5272727272727272,0.26605504587155965,2.2676358884270793,4.8153340635268345
十二,23,8,0.14545454545454545,0.11428571428571428,2.2611323685894194,4.793675889328063
精奇,46,16,0.2909090909090909,0.18823529411764706,2.2611323685894194,4.793675889328063
地,86,29,0.5272727272727272,0.25892857142857145,2.2164105650719064,4.647357293868922
十七,9,3,0.05454545454545454,0.04918032786885246,2.1997318239252763,4.593939393939394
二十七,15,5,0.09090909090909091,0.07692307692307693,2.199731823925276,4.593939393939394
四十八,9,3,0.05454545454545454,0.04918032786885246,2.1997318239252763,4.593939393939394
行禮,163,54,0.9818181818181818,0.32926829268292684,2.190853672578823,4.565755716675962
齊,31,10,0.18181818181818182,0.13157894736842105,2.1524261091469192,4.44574780058651
七千,19,6,0.10909090909090909,0.08823529411764706,2.121729311924003,4.352153110047847
石,19,6,0.10909090909090909,0.08823529411764706,2.121729311924003,4.352153110047847
照例,44,13,0.23636363636363636,0.1511627906976744,2.025702424150227,4.071900826446281
二百三十,14,4,0.07272727272727272,0.06153846153846154,1.9773394025888282,3.9376623376623376
六十,21,6,0.10909090909090909,0.08571428571428572,1.9773394025888282,3.9376623376623376
賜,92,26,0.4727272727272727,0.21487603305785125,1.9615720867305113,3.8948616600790515
正,89,25,0.45454545454545453,0.21008403361344538,1.9528170834547591,3.871297242083759
順,11,3,0.05454545454545454,0.047619047619047616,1.9102252067302912,3.7586776859504134
漢,11,3,0.05454545454545454,0.047619047619047616,1.9102252067302912,3.7586776859504134
二百四十,11,3,0.05454545454545454,0.047619047619047616,1.9102252067302912,3.7586776859504134
遣,219,55,1.0,0.2511415525114155,1.7912669785699182,3.461187214611872
喀爾,20,5,0.09090909090909091,0.07142857142857142,1.7846943246464322,3.4454545454545453
春園,32,8,0.14545454545454545,0.10126582278481013,1.7846943246464322,3.4454545454545453
一百九十,12,3,0.05454545454545454,0.046875,1.784694324646432,3.4454545454545453
二百五十,17,4,0.07272727272727272,0.058823529411764705,1.6972314833960926,3.2427807486631015
駙,13,3,0.05454545454545454,0.046153846153846156,1.6692171072264963,3.1804195804195805
一千,26,6,0.10909090909090909,0.08,1.6692171072264963,3.1804195804195805
朝,114,26,0.4727272727272727,0.18181818181818182,1.6522440286227824,3.143221690590112
人,144,32,0.5818181818181818,0.19161676646706588,1.6147693232041198,3.062626262626263
五十,23,5,0.09090909090909091,0.0684931506849315,1.5830604634767815,2.9960474308300395
喀,83,18,0.32727272727272727,0.15,1.5795798947418194,2.988828039430449
行禮遣,51,11,0.2,0.11578947368421053,1.5717006013122339,2.9725490196078432
十三,15,3,0.05454545454545454,0.04477611940298507,1.4627662297590698,2.7563636363636363
預備,15,3,0.05454545454545454,0.04477611940298507,1.4627662297590698,2.7563636363636363
