antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
"諸王, 貝勒貝子",滿洲,2,1,0.05013192612137203,0.6333333333333333,3.902981029810298,"諸王(OFF), 貝勒貝子(OFF)",滿洲(GRP)
"康熙, 藩王",大學士,2,1,0.06200527704485488,0.8545454545454546,3.902081051478642,"康熙(DATE), 藩王(OFF)",大學士(OFF)
正月,滿洲,1,1,0.05672823218997362,0.6323529411764706,3.8969392635102817,正月(DATE),滿洲(GRP)
"元旦, 正月",大學士,2,1,0.06860158311345646,0.8524590163934426,3.8925538218447557,"元旦(DATE), 正月(DATE)",大學士(OFF)
"康熙, 諸王",滿洲,2,1,0.05408970976253298,0.6307692307692307,3.8871794871794867,"康熙(DATE), 諸王(OFF)",滿洲(GRP)
"康熙, 諸王",大學士,2,1,0.07255936675461741,0.8461538461538461,3.8637627432808155,"康熙(DATE), 諸王(OFF)",大學士(OFF)
"蒙古, 諸王",大學士,2,1,0.05013192612137203,0.8444444444444444,3.8559571619812583,"蒙古(GRP), 諸王(OFF)",大學士(OFF)
"元旦, 滿洲",大學士,2,1,0.05013192612137203,0.8444444444444444,3.8559571619812583,"元旦(DATE), 滿洲(GRP)",大學士(OFF)
貝勒貝子,"康熙, 朔",1,2,0.06992084432717678,0.828125,3.8510352760736195,貝勒貝子(OFF),"康熙(DATE), 朔(DATE)"
昭陵,"太廟, 康熙",1,2,0.079155672823219,0.6315789473684211,3.829894736842106,昭陵(LOC),"太廟(LOC), 康熙(DATE)"
永陵,"太廟, 康熙",1,2,0.079155672823219,0.6315789473684211,3.829894736842106,永陵(LOC),"太廟(LOC), 康熙(DATE)"
"朔, 正月",大學士,2,1,0.06860158311345646,0.8387096774193548,3.829770695685969,"朔(DATE), 正月(DATE)",大學士(OFF)
"元旦, 康熙",大學士,2,1,0.06860158311345646,0.8387096774193548,3.829770695685969,"元旦(DATE), 康熙(DATE)",大學士(OFF)
"元旦, 朔",大學士,2,1,0.06728232189973615,0.836065573770492,3.8176970175785114,"元旦(DATE), 朔(DATE)",大學士(OFF)
元旦,"實錄, 朔",1,2,0.051451187335092345,0.619047619047619,3.8149438637243507,元旦(DATE),"實錄(SYS), 朔(DATE)"
八旗,"大學士, 康熙",1,2,0.05804749340369393,0.5365853658536586,3.801230909505357,八旗(SYS),"大學士(OFF), 康熙(DATE)"
"實錄, 蒙古",滿洲,2,1,0.05672823218997362,0.6142857142857143,3.7855981416957025,"實錄(SYS), 蒙古(GRP)",滿洲(GRP)
元旦,大學士,1,1,0.06860158311345646,0.8253968253968252,3.7689806846433345,元旦(DATE),大學士(OFF)
翰林院,學士,1,1,0.052770448548812667,0.6153846153846154,3.761786600496278,翰林院(LOC),學士(OFF)
八旗,滿洲,1,1,0.06596306068601583,0.6097560975609756,3.757683918302597,八旗(SYS),滿洲(GRP)
貝勒貝子,滿洲,1,1,0.051451187335092345,0.609375,3.755335365853658,貝勒貝子(OFF),滿洲(GRP)
福陵,"太廟, 康熙",1,2,0.079155672823219,0.6185567010309279,3.7509278350515465,福陵(LOC),"太廟(LOC), 康熙(DATE)"
"康熙, 正月",大學士,2,1,0.06992084432717678,0.8153846153846154,3.7232622798887856,"康熙(DATE), 正月(DATE)",大學士(OFF)
正月,"實錄, 朔",1,2,0.05408970976253298,0.6029411764705882,3.7156862745098036,正月(DATE),"實錄(SYS), 朔(DATE)"
"十月, 康熙",太廟,2,1,0.07783641160949868,0.921875,3.697255291005291,"十月(DATE), 康熙(DATE)",太廟(LOC)
"康熙, 蒙古",滿洲,2,1,0.0712401055408971,0.5869565217391305,3.6171792152704136,"康熙(DATE), 蒙古(GRP)",滿洲(GRP)
十月,太廟,1,1,0.08047493403693931,0.8970588235294117,3.597727980080921,十月(DATE),太廟(LOC)
"八旗, 滿洲",大學士,2,1,0.051451187335092345,0.7799999999999999,3.5616867469879514,"八旗(SYS), 滿洲(GRP)",大學士(OFF)
"八旗, 康熙",蒙古,2,1,0.06068601583113457,0.71875,3.5608660130718954,"八旗(SYS), 康熙(DATE)",蒙古(GRP)
正月,大學士,1,1,0.06992084432717678,0.7794117647058824,3.559000708717222,正月(DATE),大學士(OFF)
諸王,"康熙, 朔",1,2,0.07651715039577836,0.7532467532467532,3.5028284598836743,諸王(OFF),"康熙(DATE), 朔(DATE)"
內閣,侍郎,1,1,0.06200527704485488,0.6025641025641026,3.4865922881190063,內閣(OFF),侍郎(OFF)
"朔, 蒙古",滿洲,2,1,0.05804749340369393,0.5641025641025641,3.4763393787784027,"朔(DATE), 蒙古(GRP)",滿洲(GRP)
"大學士, 滿洲",蒙古,2,1,0.055408970976253295,0.7,3.4679738562091504,"大學士(OFF), 滿洲(GRP)",蒙古(GRP)
諸王,滿洲,1,1,0.05672823218997362,0.5584415584415584,3.441452856087002,諸王(OFF),滿洲(GRP)
諸王,大學士,1,1,0.07651715039577836,0.7532467532467532,3.439524331090596,諸王(OFF),大學士(OFF)
"實錄, 滿洲",蒙古,2,1,0.05672823218997362,0.6935483870967742,3.4360109635251956,"實錄(SYS), 滿洲(GRP)",蒙古(GRP)
"八旗, 朔",蒙古,2,1,0.051451187335092345,0.6842105263157894,3.3897488820089436,"八旗(SYS), 朔(DATE)",蒙古(GRP)
七月,太廟,1,1,0.08311345646437995,0.8400000000000001,3.3688888888888893,七月(DATE),太廟(LOC)
"八旗, 朔",大學士,2,1,0.055408970976253295,0.7368421052631579,3.364616360177552,"八旗(SYS), 朔(DATE)",大學士(OFF)
"八旗, 蒙古",大學士,2,1,0.05013192612137203,0.7307692307692308,3.3368860055607046,"八旗(SYS), 蒙古(GRP)",大學士(OFF)
"侍衛, 康熙",大學士,2,1,0.051451187335092345,0.7222222222222221,3.2978580990629176,"侍衛(OFF), 康熙(DATE)",大學士(OFF)
"康熙, 貝勒貝子",蒙古,2,1,0.051451187335092345,0.6610169491525423,3.2748421402459287,"康熙(DATE), 貝勒貝子(OFF)",蒙古(GRP)
"康熙, 滿洲",蒙古,2,1,0.0712401055408971,0.6585365853658537,3.262553802008609,"康熙(DATE), 滿洲(GRP)",蒙古(GRP)
四月,太廟,1,1,0.08443271767810026,0.810126582278481,3.249079097180363,四月(DATE),太廟(LOC)
"大學士, 諸王",蒙古,2,1,0.05013192612137203,0.6551724137931034,3.245886860491323,"大學士(OFF), 諸王(OFF)",蒙古(GRP)
侍郎,學士,1,1,0.09102902374670185,0.5267175572519085,3.219773454814086,侍郎(OFF),學士(OFF)
